Nombre,Apellido,DPI_CUI,Departamento,Municipio_residencia,Edad,Vacunado,Prioridad,Grupo,Enfermedad
Andrea,Blanco,4371820622589,Guatemala,Zona 10,21,False,3,13,No Aplica
Mireya,Castillo,6463352394755,Guatemala,Fraijanes,70,False,2,16,Aplica
Marisela,Monserratt,1094833782874,Guatemala,Fraijanes,45,True,2,7,No Aplica
Sara,Estrada,1702498972415,Guatemala,Santa catarina,21,False,1,3,No Aplica
Andrea,Camara,4648619433864,Guatemala,Fraijanes,30,False,3,13,No Aplica
Josefina,Montaño,1439022286795,Guatemala,Zona 10,90,True,2,16,Aplica
mariana,lopez,3048506759106,Guatemala,Fraijanes,26,False,1,2,No Aplica
Andrea ,Najara,3541758433915,Guatemala,Santa catarina,21,False,1,3,No Aplica
Andres,Galvez,3016382930101,Guatemala,Zona 18,21,False,4,16,No Aplica
Marian Alejandra,lopez,8728737298398,Guatemala,Santa catarina,30,False,4,16,No Aplica
Mauricio Alejandro,lopez,3994745280113,Guatemala,Fraijanes,30,False,3,12,No Aplica
